subtype,item_name,item_description,SD_prompt
Midnight Snack,Cold Pizza," Triangular slices of pizza with congealed cheese and toppings, served on a plate.","A photograph of Cold Pizza:  Triangular slices of pizza with congealed cheese and toppings, served on a plate."
Midnight Snack,Ice Cream," A scoop or two of creamy, slightly melting ice cream in a bowl or cone.","A photograph of Ice Cream:  A scoop or two of creamy, slightly melting ice cream in a bowl or cone."
Midnight Snack,Yogurt with Granola," A bowl of creamy yogurt topped with crunchy, golden-brown granola.","A photograph of Yogurt with Granola:  A bowl of creamy yogurt topped with crunchy, golden-brown granola."
Midnight Snack,Cereal and Milk, A bowl of colorful or brown cereal partially submerged in white milk.,A photograph of Cereal and Milk:  A bowl of colorful or brown cereal partially submerged in white milk.
Midnight Snack,Leftover Fried Chicken," Pieces of golden-brown fried chicken, with crispy skin, served on a plate.","A photograph of Leftover Fried Chicken:  Pieces of golden-brown fried chicken, with crispy skin, served on a plate."
Midnight Snack,Instant Noodles," A bowl of long, curly noodles in a clear or slightly cloudy broth.","A photograph of Instant Noodles:  A bowl of long, curly noodles in a clear or slightly cloudy broth."
Midnight Snack,Sliced Apples with Peanut Butter, Thin slices of green or red apples with a dollop of glossy peanut butter.,A photograph of Sliced Apples with Peanut Butter:  Thin slices of green or red apples with a dollop of glossy peanut butter.
Midnight Snack,Hummus and Pita Bread," A bowl of creamy, beige hummus with pieces of soft, round pita bread.","A photograph of Hummus and Pita Bread:  A bowl of creamy, beige hummus with pieces of soft, round pita bread."
Midnight Snack,Cheese Quesadilla," A golden-brown tortilla folded over melted cheese, cut into wedges.","A photograph of Cheese Quesadilla:  A golden-brown tortilla folded over melted cheese, cut into wedges."
Midnight Snack,Hot Chocolate," A mug of dark brown hot chocolate, possibly topped with white marshmallows or whipped cream.","A photograph of Hot Chocolate:  A mug of dark brown hot chocolate, possibly topped with white marshmallows or whipped cream."
Midnight Snack,S'mores," A sandwich of two graham crackers, a piece of chocolate, and a melted marshmallow.","A photograph of S'mores:  A sandwich of two graham crackers, a piece of chocolate, and a melted marshmallow."
Midnight Snack,Toast with Avocado, A piece of golden-brown toast topped with mashed green avocado.,A photograph of Toast with Avocado:  A piece of golden-brown toast topped with mashed green avocado.
