subtype,species_latin_name,species_common_name,species_description,SD_prompt
Gunnerales,Notable Gunnera,Gunnera insignis," Large, lobed leaves, upright growth habit, and large, cone-like flower clusters.","A photograph of a Gunnera insignis (Notable Gunnera): Large, lobed leaves, upright growth habit, and large, cone-like flower clusters."
Gunnerales,Petal-like Gunnera,Gunnera petaloidea," Large, lobed leaves, upright growth habit, and large, petal-like flower clusters.","A photograph of a Gunnera petaloidea (Petal-like Gunnera): Large, lobed leaves, upright growth habit, and large, petal-like flower clusters."
Gunnerales,Monoic Gunnera,Gunnera monoica," Small, round leaves, creeping growth habit, and tiny, greenish flowers.","A photograph of a Gunnera monoica (Monoic Gunnera): Small, round leaves, creeping growth habit, and tiny, greenish flowers."
Gunnerales,Heart-leaved Gunnera,Gunnera cordifolia," Medium-sized, heart-shaped leaves, upright growth habit, and small, reddish flower clusters.","A photograph of a Gunnera cordifolia (Heart-leaved Gunnera): Medium-sized, heart-shaped leaves, upright growth habit, and small, reddish flower clusters."
Gunnerales,Short-lived Gunnera,Gunnera brephogea," Medium-sized, lobed leaves, upright growth habit, and small, greenish flower clusters.","A photograph of a Gunnera brephogea (Short-lived Gunnera): Medium-sized, lobed leaves, upright growth habit, and small, greenish flower clusters."
Gunnerales,Talamancan Gunnera,Gunnera talamancana," Large, lobed leaves, upright growth habit, and large, cone-like flower clusters.","A photograph of a Gunnera talamancana (Talamancan Gunnera): Large, lobed leaves, upright growth habit, and large, cone-like flower clusters."
Gunnerales,Mexican Gunnera,Gunnera mexicana," Medium-sized, lobed leaves, upright growth habit, and small, reddish flower clusters.","A photograph of a Gunnera mexicana (Mexican Gunnera): Medium-sized, lobed leaves, upright growth habit, and small, reddish flower clusters."
Gunnerales,Hairy Gunnera,Gunnera strigosa," Medium-sized, lobed leaves, upright growth habit, and small, hairy flower clusters.","A photograph of a Gunnera strigosa (Hairy Gunnera): Medium-sized, lobed leaves, upright growth habit, and small, hairy flower clusters."
Huerteales,Chinese Tapiscia,Tapiscia sinensis," Small deciduous tree with pinnate leaves, yellowish-green flowers, and round, green fruits.","A photograph of a Tapiscia sinensis (Chinese Tapiscia): Small deciduous tree with pinnate leaves, yellowish-green flowers, and round, green fruits."
Huerteales,Yunnan Tapiscia,Tapiscia yunnanensis," Medium-sized tree with compound leaves, small yellow flowers, and green, round fruits.","A photograph of a Tapiscia yunnanensis (Yunnan Tapiscia): Medium-sized tree with compound leaves, small yellow flowers, and green, round fruits."
Huerteales,Hawaiian Bladdernut,Perrottetia sandwicensis," Shrub with serrated leaves, small white flowers, and round, red fruits.","A photograph of a Perrottetia sandwicensis (Hawaiian Bladdernut): Shrub with serrated leaves, small white flowers, and round, red fruits."
Huerteales,Asian Bladdernut,Perrottetia racemosa," Medium-sized tree with elliptical leaves, white flowers in racemes, and red, round fruits.","A photograph of a Perrottetia racemosa (Asian Bladdernut): Medium-sized tree with elliptical leaves, white flowers in racemes, and red, round fruits."
Huerteales,Dipentodon,Dipentodon sinicus," Small tree with simple, alternate leaves, small greenish flowers, and black, round fruits.","A photograph of a Dipentodon sinicus (Dipentodon): Small tree with simple, alternate leaves, small greenish flowers, and black, round fruits."
Huerteales,Gerrardina,Gerrardina foliosa," Small shrub with simple, opposite leaves, small white flowers, and red, round fruits.","A photograph of a Gerrardina foliosa (Gerrardina): Small shrub with simple, opposite leaves, small white flowers, and red, round fruits."
Huerteales,Huertea,Huertea glandulosa," Small tree with simple, alternate leaves, small yellow flowers, and red, round fruits.","A photograph of a Huertea glandulosa (Huertea): Small tree with simple, alternate leaves, small yellow flowers, and red, round fruits."
Huerteales,Arisan Bladdernut,Perrottetia arisanensis," Shrub with serrated leaves, small white flowers, and round, red fruits.","A photograph of a Perrottetia arisanensis (Arisan Bladdernut): Shrub with serrated leaves, small white flowers, and round, red fruits."
Huerteales,Cali Bladdernut,Perrottetia caliensis," Medium-sized tree with elliptical leaves, white flowers in racemes, and red, round fruits.","A photograph of a Perrottetia caliensis (Cali Bladdernut): Medium-sized tree with elliptical leaves, white flowers in racemes, and red, round fruits."
Huerteales,Long-styled Bladdernut,Perrottetia longistylis," Shrub with serrated leaves, small white flowers, and round, red fruits.","A photograph of a Perrottetia longistylis (Long-styled Bladdernut): Shrub with serrated leaves, small white flowers, and round, red fruits."
Icacinales,False Yam,Icacina oliviformis," Small tree or shrub with elliptical leaves and greenish-white flowers. Produces olive-shaped, orange fruits.","A photograph of a Icacina oliviformis (False Yam): Small tree or shrub with elliptical leaves and greenish-white flowers. Produces olive-shaped, orange fruits."
Icacinales,Mann's Icacina,Icacina mannii," Large shrub with glossy, dark green leaves. White flowers cluster in panicles, followed by yellow-orange fruits.","A photograph of a Icacina mannii (Mann's Icacina): Large shrub with glossy, dark green leaves. White flowers cluster in panicles, followed by yellow-orange fruits."
Icacinales,Hairy Icacina,Icacina trichantha," Small tree with hairy leaves and stems. Bears small, white flowers and round, yellow fruits.","A photograph of a Icacina trichantha (Hairy Icacina): Small tree with hairy leaves and stems. Bears small, white flowers and round, yellow fruits."
Icacinales,Senegal Icacina,Icacina senegalensis," Medium-sized tree with elliptical leaves and small, white flowers. Produces round, yellow fruits.","A photograph of a Icacina senegalensis (Senegal Icacina): Medium-sized tree with elliptical leaves and small, white flowers. Produces round, yellow fruits."
Icacinales,Three-spined Icacina,Icacina tricantha, Small tree with trifoliate leaves and white flowers. Fruits are round and yellow-orange.,A photograph of a Icacina tricantha (Three-spined Icacina): Small tree with trifoliate leaves and white flowers. Fruits are round and yellow-orange.
Icacinales,Alpine Icacina,Icacina alpina," Small shrub with glossy, dark green leaves. Bears white flowers and round, yellow fruits.","A photograph of a Icacina alpina (Alpine Icacina): Small shrub with glossy, dark green leaves. Bears white flowers and round, yellow fruits."
Icacinales,Southern Icacina,Icacina australis," Medium-sized tree with elliptical leaves and small, white flowers. Produces round, yellow fruits.","A photograph of a Icacina australis (Southern Icacina): Medium-sized tree with elliptical leaves and small, white flowers. Produces round, yellow fruits."
Icacinales,Kirk's Icacina,Icacina kirkii," Large shrub with glossy, dark green leaves. White flowers cluster in panicles, followed by yellow-orange fruits.","A photograph of a Icacina kirkii (Kirk's Icacina): Large shrub with glossy, dark green leaves. White flowers cluster in panicles, followed by yellow-orange fruits."
Icacinales,Umbrella Icacina,Icacina umbellifera, Small tree with umbrella-like clusters of white flowers. Fruits are round and yellow-orange.,A photograph of a Icacina umbellifera (Umbrella Icacina): Small tree with umbrella-like clusters of white flowers. Fruits are round and yellow-orange.
Icacinales,Axillary Icacina,Icacina axillaris," Medium-sized tree with elliptical leaves and small, white flowers in the axils. Produces round, yellow fruits.","A photograph of a Icacina axillaris (Axillary Icacina): Medium-sized tree with elliptical leaves and small, white flowers in the axils. Produces round, yellow fruits."
Lamiales,Salvia officinalis,Common Sage, Grey-green leaves with a pebbled texture and purple flowers.,A photograph of a Common Sage (Salvia officinalis): Grey-green leaves with a pebbled texture and purple flowers.
Lamiales,Lavandula angustifolia,English Lavender," Purple-blue flowers on long, slender stems with grey-green leaves.","A photograph of a English Lavender (Lavandula angustifolia): Purple-blue flowers on long, slender stems with grey-green leaves."
Lamiales,Digitalis purpurea,Common Foxglove, Tall spikes of purple-pink bell-shaped flowers with dark spots inside.,A photograph of a Common Foxglove (Digitalis purpurea): Tall spikes of purple-pink bell-shaped flowers with dark spots inside.
Lamiales,Olea europaea,Olive Tree," Silvery-green leaves with a grey trunk, produces small black fruits.","A photograph of a Olive Tree (Olea europaea): Silvery-green leaves with a grey trunk, produces small black fruits."
Lamiales,Mentha × piperita,Peppermint," Dark green, serrated leaves with a strong minty aroma, produces small purple flowers.","A photograph of a Peppermint (Mentha × piperita): Dark green, serrated leaves with a strong minty aroma, produces small purple flowers."
Lamiales,Antirrhinum majus,Common Snapdragon," Brightly colored flowers with a distinctive 'snap' shape, green leaves.","A photograph of a Common Snapdragon (Antirrhinum majus): Brightly colored flowers with a distinctive 'snap' shape, green leaves."
Lamiales,Ocimum basilicum,Sweet Basil," Bright green, oval leaves with a strong aroma, produces small white flowers.","A photograph of a Sweet Basil (Ocimum basilicum): Bright green, oval leaves with a strong aroma, produces small white flowers."
Lamiales,Fraxinus excelsior,Ash Tree," Compound leaves with 9-13 leaflets, produces clusters of winged seeds.","A photograph of a Ash Tree (Fraxinus excelsior): Compound leaves with 9-13 leaflets, produces clusters of winged seeds."
Lamiales,Ligustrum vulgare,Common Privet," Glossy green leaves, produces clusters of small white flowers and black berries.","A photograph of a Common Privet (Ligustrum vulgare): Glossy green leaves, produces clusters of small white flowers and black berries."
Lamiales,Ilex aquifolium,European Holly," Dark green, spiky leaves and red berries.","A photograph of a European Holly (Ilex aquifolium): Dark green, spiky leaves and red berries."
Lamiales,Thymus vulgaris,Common Thyme," Small, grey-green leaves with a strong aroma, produces tiny pink flowers.","A photograph of a Common Thyme (Thymus vulgaris): Small, grey-green leaves with a strong aroma, produces tiny pink flowers."
Lamiales,Origanum vulgare,Oregano," Oval, green leaves with a strong aroma, produces clusters of tiny purple flowers.","A photograph of a Oregano (Origanum vulgare): Oval, green leaves with a strong aroma, produces clusters of tiny purple flowers."
Lamiales,Melissa officinalis,Lemon Balm," Light green, serrated leaves with a lemony aroma, produces small white flowers.","A photograph of a Lemon Balm (Melissa officinalis): Light green, serrated leaves with a lemony aroma, produces small white flowers."
Lamiales,Rosmarinus officinalis,Rosemary," Needle-like, grey-green leaves with a strong aroma, produces small blue flowers.","A photograph of a Rosemary (Rosmarinus officinalis): Needle-like, grey-green leaves with a strong aroma, produces small blue flowers."
Lamiales,Syringa vulgaris,Common Lilac," Heart-shaped, green leaves, produces clusters of fragrant purple flowers.","A photograph of a Common Lilac (Syringa vulgaris): Heart-shaped, green leaves, produces clusters of fragrant purple flowers."
Lamiales,Forsythia × intermedia,Forsythia, Bright yellow flowers appearing before the leaves in spring.,A photograph of a Forsythia (Forsythia × intermedia): Bright yellow flowers appearing before the leaves in spring.
Lamiales,Myrtus communis,Common Myrtle," Dark green, glossy leaves, produces white flowers and blue-black berries.","A photograph of a Common Myrtle (Myrtus communis): Dark green, glossy leaves, produces white flowers and blue-black berries."
Lamiales,Angelica archangelica,Garden Angelica," Large, compound green leaves, produces umbrella-like clusters of tiny white flowers.","A photograph of a Garden Angelica (Angelica archangelica): Large, compound green leaves, produces umbrella-like clusters of tiny white flowers."
Lamiales,Ficus carica,Common Fig," Large, lobed green leaves, produces unique pear-shaped fruits.","A photograph of a Common Fig (Ficus carica): Large, lobed green leaves, produces unique pear-shaped fruits."
Lamiales,Punica granatum,Pomegranate," Glossy, narrow leaves, produces unique round fruits with a crown-like calyx.","A photograph of a Pomegranate (Punica granatum): Glossy, narrow leaves, produces unique round fruits with a crown-like calyx."
Laurales,Persea americana,Avocado," Features large, glossy, dark green leaves, greenish-yellow flowers, and pear-shaped fruits.","A photograph of a Avocado (Persea americana): Features large, glossy, dark green leaves, greenish-yellow flowers, and pear-shaped fruits."
Laurales,Laurus nobilis,Sweet Bay," Known for its shiny dark green leaves, small yellow flowers, and dark berries.","A photograph of a Sweet Bay (Laurus nobilis): Known for its shiny dark green leaves, small yellow flowers, and dark berries."
Laurales,Persea borbonia,Red Bay," Has evergreen leaves that are dark green above and paler beneath, and produces dark blue to black fruit.","A photograph of a Red Bay (Persea borbonia): Has evergreen leaves that are dark green above and paler beneath, and produces dark blue to black fruit."
Laurales,Umbellularia californica,California Bay," Features lance-shaped leaves, yellow flowers, and small, olive-like fruit.","A photograph of a California Bay (Umbellularia californica): Features lance-shaped leaves, yellow flowers, and small, olive-like fruit."
Laurales,Myrciaria dubia,Camu Camu," Notable for its bushy growth, small white flowers, and cherry-like fruits.","A photograph of a Camu Camu (Myrciaria dubia): Notable for its bushy growth, small white flowers, and cherry-like fruits."
Laurales,Cinnamomum verum,Cinnamon," Recognized by its shiny, leathery green leaves, small white flowers, and pale brown bark.","A photograph of a Cinnamon (Cinnamomum verum): Recognized by its shiny, leathery green leaves, small white flowers, and pale brown bark."
Laurales,Cassytha filiformis,Cassytha," A parasitic vine with thin, wire-like stems and tiny, inconspicuous flowers.","A photograph of a Cassytha (Cassytha filiformis): A parasitic vine with thin, wire-like stems and tiny, inconspicuous flowers."
Laurales,Beilschmiedia tawa,Beilschmiedia," Known for its large, glossy leaves, small greenish flowers, and purple-black fruit.","A photograph of a Beilschmiedia (Beilschmiedia tawa): Known for its large, glossy leaves, small greenish flowers, and purple-black fruit."
Laurales,Illicium parviflorum,Yellow Anise," Features evergreen, lance-shaped leaves and yellow, star-shaped flowers.","A photograph of a Yellow Anise (Illicium parviflorum): Features evergreen, lance-shaped leaves and yellow, star-shaped flowers."
Laurales,Illicium verum,Star Anise," Recognizable by its lanceolate leaves, pinkish-white flowers, and star-shaped fruit.","A photograph of a Star Anise (Illicium verum): Recognizable by its lanceolate leaves, pinkish-white flowers, and star-shaped fruit."
Laurales,Tasmannia lanceolata,Mountain Pepper," Known for its dark green, lance-shaped leaves, white or cream flowers, and black, peppery berries.","A photograph of a Mountain Pepper (Tasmannia lanceolata): Known for its dark green, lance-shaped leaves, white or cream flowers, and black, peppery berries."
Laurales,Pseudowintera colorata,Horopito," Features elliptical leaves with red blotches, small yellow flowers, and black fruit.","A photograph of a Horopito (Pseudowintera colorata): Features elliptical leaves with red blotches, small yellow flowers, and black fruit."
Laurales,Harpullia pendula,Tulipwood," Recognizable by its glossy, dark green leaves, yellow-orange flowers, and brightly colored fruit.","A photograph of a Tulipwood (Harpullia pendula): Recognizable by its glossy, dark green leaves, yellow-orange flowers, and brightly colored fruit."
Laurales,Atherosperma moschatum,Blackheart Sassafras," Known for its glossy, dark green leaves, small white flowers, and black fruit.","A photograph of a Blackheart Sassafras (Atherosperma moschatum): Known for its glossy, dark green leaves, small white flowers, and black fruit."
Laurales,Lindera benzoin,Spicebush," Features light green leaves, small yellow flowers, and bright red berries.","A photograph of a Spicebush (Lindera benzoin): Features light green leaves, small yellow flowers, and bright red berries."
Laurales,Lindera borealis,Northern Spicebush," Recognizable by its glossy, dark green leaves, small yellow flowers, and black fruit.","A photograph of a Northern Spicebush (Lindera borealis): Recognizable by its glossy, dark green leaves, small yellow flowers, and black fruit."
Laurales,Illicium anisatum,Japanese Star Anise," Known for its evergreen leaves, white flowers, and star-shaped fruit.","A photograph of a Japanese Star Anise (Illicium anisatum): Known for its evergreen leaves, white flowers, and star-shaped fruit."
Laurales,Pittosporum undulatum,Victorian Box," Features wavy-edged leaves, fragrant orange flowers, and orange-red, sticky fruit.","A photograph of a Victorian Box (Pittosporum undulatum): Features wavy-edged leaves, fragrant orange flowers, and orange-red, sticky fruit."
Liliales,Lilium lancifolium,Tiger Lily," Bright orange flowers with black spots, recurved petals and long stamens.","A photograph of a Tiger Lily (Lilium lancifolium): Bright orange flowers with black spots, recurved petals and long stamens."
Liliales,Lilium candidum,Madonna Lily," Large, pure white trumpet-shaped flowers with yellow base, highly fragrant.","A photograph of a Madonna Lily (Lilium candidum): Large, pure white trumpet-shaped flowers with yellow base, highly fragrant."
Liliales,Lilium canadense,Canada Lily," Yellow to red flowers with speckles, recurved petals and protruding stamens.","A photograph of a Canada Lily (Lilium canadense): Yellow to red flowers with speckles, recurved petals and protruding stamens."
Liliales,Lilium martagon,Martagon Lily," Small, turk's cap style flowers, usually pinkish-purple with dark spots.","A photograph of a Martagon Lily (Lilium martagon): Small, turk's cap style flowers, usually pinkish-purple with dark spots."
Liliales,Lilium pardalinum,Leopard Lily," Orange-red flowers with dark spots, petals curve backward.","A photograph of a Leopard Lily (Lilium pardalinum): Orange-red flowers with dark spots, petals curve backward."
Liliales,Lilium catesbaei,Pine Lily," Large, upright, orange-red flowers with recurved petals and long stamens.","A photograph of a Pine Lily (Lilium catesbaei): Large, upright, orange-red flowers with recurved petals and long stamens."
Liliales,Lilium philadelphicum,Wood Lily," Bright orange-red flowers with dark spots, petals recurve backward.","A photograph of a Wood Lily (Lilium philadelphicum): Bright orange-red flowers with dark spots, petals recurve backward."
Liliales,Lilium nepalense,Himalayan Lily," Large, bell-shaped, greenish-yellow flowers with purple throat.","A photograph of a Himalayan Lily (Lilium nepalense): Large, bell-shaped, greenish-yellow flowers with purple throat."
Liliales,Fritillaria camschatcensis,Chocolate Lily," Dark purple to almost black bell-shaped flowers, nodding heads.","A photograph of a Chocolate Lily (Fritillaria camschatcensis): Dark purple to almost black bell-shaped flowers, nodding heads."
Liliales,Fritillaria meleagris,Snake's Head Fritillary," Checkered purple and white bell-shaped flowers, nodding heads.","A photograph of a Snake's Head Fritillary (Fritillaria meleagris): Checkered purple and white bell-shaped flowers, nodding heads."
Liliales,Fritillaria imperialis,Crown Imperial," Large, bright orange-red flowers in a crown-like formation, strong fragrance.","A photograph of a Crown Imperial (Fritillaria imperialis): Large, bright orange-red flowers in a crown-like formation, strong fragrance."
Liliales,Fritillaria pudica,Yellow Fritillary," Bright yellow, bell-shaped flowers, usually solitary.","A photograph of a Yellow Fritillary (Fritillaria pudica): Bright yellow, bell-shaped flowers, usually solitary."
Liliales,Colchicum autumnale,Autumn Crocus," Large, pink-purple flowers appearing in autumn, no leaves at flowering time.","A photograph of a Autumn Crocus (Colchicum autumnale): Large, pink-purple flowers appearing in autumn, no leaves at flowering time."
Liliales,Colchicum bulbocodium,Meadow Saffron," Small, bright pink flowers appearing in spring, leaves absent at flowering.","A photograph of a Meadow Saffron (Colchicum bulbocodium): Small, bright pink flowers appearing in spring, leaves absent at flowering."
Liliales,Gloriosa superba,Glory Lily," Exotic-looking flowers with reflexed petals, bright red and yellow.","A photograph of a Glory Lily (Gloriosa superba): Exotic-looking flowers with reflexed petals, bright red and yellow."
Liliales,Gloriosa rothschildiana,Climbing Lily," Large, red and yellow flowers with reflexed petals and long stamens.","A photograph of a Climbing Lily (Gloriosa rothschildiana): Large, red and yellow flowers with reflexed petals and long stamens."
Liliales,Eucharis grandiflora,Amazon Lily," Large, white, daffodil-like flowers, glossy green leaves.","A photograph of a Amazon Lily (Eucharis grandiflora): Large, white, daffodil-like flowers, glossy green leaves."
Liliales,Hymenocallis narcissiflora,Peruvian Daffodil," White, spider-like flowers with a pronounced central cup.","A photograph of a Peruvian Daffodil (Hymenocallis narcissiflora): White, spider-like flowers with a pronounced central cup."
Liliales,Hymenocallis littoralis,Spider Lily," Large, white, spider-like flowers, long, slender petals and a central cup.","A photograph of a Spider Lily (Hymenocallis littoralis): Large, white, spider-like flowers, long, slender petals and a central cup."
Liliales,Pancratium maritimum,Sea Daffodil," White, daffodil-like flowers with a pronounced central cup, grows in sandy coastal areas.","A photograph of a Sea Daffodil (Pancratium maritimum): White, daffodil-like flowers with a pronounced central cup, grows in sandy coastal areas."
Magnoliales,Magnolia grandiflora,Southern Magnolia," Large, fragrant white flowers with glossy, dark green leaves.","A photograph of a Southern Magnolia (Magnolia grandiflora): Large, fragrant white flowers with glossy, dark green leaves."
Magnoliales,Magnolia stellata,Star Magnolia," Small tree with large, star-shaped white or pink flowers.","A photograph of a Star Magnolia (Magnolia stellata): Small tree with large, star-shaped white or pink flowers."
Magnoliales,Magnolia x soulangeana,Saucer Magnolia," Deciduous tree with large, saucer-shaped pink-purple flowers.","A photograph of a Saucer Magnolia (Magnolia x soulangeana): Deciduous tree with large, saucer-shaped pink-purple flowers."
Magnoliales,Magnolia virginiana,Sweetbay Magnolia, Small tree with creamy white flowers and leaves that are green on top and silvery underneath.,A photograph of a Sweetbay Magnolia (Magnolia virginiana): Small tree with creamy white flowers and leaves that are green on top and silvery underneath.
Magnoliales,Magnolia tripetala,Umbrella Magnolia," Large leaves arranged in umbrella-like whorls, with creamy white flowers.","A photograph of a Umbrella Magnolia (Magnolia tripetala): Large leaves arranged in umbrella-like whorls, with creamy white flowers."
Magnoliales,Magnolia macrophylla,Bigleaf Magnolia," Huge leaves and large, fragrant, creamy white flowers.","A photograph of a Bigleaf Magnolia (Magnolia macrophylla): Huge leaves and large, fragrant, creamy white flowers."
Magnoliales,Magnolia acuminata,Cucumber Tree, Yellow-green flowers and leaves that resemble cucumber tree.,A photograph of a Cucumber Tree (Magnolia acuminata): Yellow-green flowers and leaves that resemble cucumber tree.
Magnoliales,Magnolia salicifolia,Anise Magnolia," Willow-like leaves and fragrant, creamy white flowers.","A photograph of a Anise Magnolia (Magnolia salicifolia): Willow-like leaves and fragrant, creamy white flowers."
Magnoliales,Magnolia x loebneri,Loebner Magnolia," Cross between M. kobus and M. stellata, with star-shaped white or pink flowers.","A photograph of a Loebner Magnolia (Magnolia x loebneri): Cross between M. kobus and M. stellata, with star-shaped white or pink flowers."
Magnoliales,Magnolia liliiflora,Lily Magnolia," Bushy tree with lily-like, purplish-red flowers.","A photograph of a Lily Magnolia (Magnolia liliiflora): Bushy tree with lily-like, purplish-red flowers."
Magnoliales,Magnolia kobus,Kobus Magnolia, Small tree with white flowers that have a slight pink tinge at the base.,A photograph of a Kobus Magnolia (Magnolia kobus): Small tree with white flowers that have a slight pink tinge at the base.
Magnoliales,Magnolia denudata,Yulan Magnolia," Known for its large, fragrant, pure white flowers.","A photograph of a Yulan Magnolia (Magnolia denudata): Known for its large, fragrant, pure white flowers."
Magnoliales,Magnolia liliiflora 'Nigra',Black Lily Magnolia, Dark purple-red flowers that resemble lilies.,A photograph of a Black Lily Magnolia (Magnolia liliiflora 'Nigra'): Dark purple-red flowers that resemble lilies.
Magnoliales,Magnolia 'Daybreak',Daybreak Magnolia, Pink flowers that bloom later to avoid frost damage.,A photograph of a Daybreak Magnolia (Magnolia 'Daybreak'): Pink flowers that bloom later to avoid frost damage.
Magnoliales,Magnolia x soulangeana 'Alexandrina',Alexandrina Magnolia," Pink and white, tulip-shaped flowers.","A photograph of a Alexandrina Magnolia (Magnolia x soulangeana 'Alexandrina'): Pink and white, tulip-shaped flowers."
Magnoliales,Magnolia 'Galaxy',Galaxy Magnolia, Pink-purple flowers that bloom later in the spring.,A photograph of a Galaxy Magnolia (Magnolia 'Galaxy'): Pink-purple flowers that bloom later in the spring.
Magnoliales,Magnolia 'Butterflies',Butterflies Magnolia, Yellow flowers that resemble butterflies in flight.,A photograph of a Butterflies Magnolia (Magnolia 'Butterflies'): Yellow flowers that resemble butterflies in flight.
Magnoliales,Magnolia 'Jane',Jane Magnolia, Purple-red flowers with white interiors.,A photograph of a Jane Magnolia (Magnolia 'Jane'): Purple-red flowers with white interiors.
Magnoliales,Magnolia stellata 'Royal Star',Royal Star Magnolia," White, fragrant, star-shaped flowers.","A photograph of a Royal Star Magnolia (Magnolia stellata 'Royal Star'): White, fragrant, star-shaped flowers."
Magnoliales,Magnolia x loebneri 'Merrill',Merrill Magnolia," White, star-shaped flowers that bloom in early spring.","A photograph of a Merrill Magnolia (Magnolia x loebneri 'Merrill'): White, star-shaped flowers that bloom in early spring."
Malpighiales,Populus tremula,Poplar, Tall tree with diamond-shaped leaves that tremble in the wind.,A photograph of a Poplar (Populus tremula): Tall tree with diamond-shaped leaves that tremble in the wind.
Malpighiales,Salix alba,Willow," Medium-sized tree with long, narrow leaves and distinctive bark.","A photograph of a Willow (Salix alba): Medium-sized tree with long, narrow leaves and distinctive bark."
Malpighiales,Euphorbia helioscopia,Euphorbia, Small herbaceous plant with yellow-green flowers and milky sap.,A photograph of a Euphorbia (Euphorbia helioscopia): Small herbaceous plant with yellow-green flowers and milky sap.
Malpighiales,Salix daphnoides,Violet Willow," Shrub with purple stems and narrow, silver leaves.","A photograph of a Violet Willow (Salix daphnoides): Shrub with purple stems and narrow, silver leaves."
Malpighiales,Euphorbia peplus,Spurge, Small plant with rounded leaves and tiny green flowers.,A photograph of a Spurge (Euphorbia peplus): Small plant with rounded leaves and tiny green flowers.
Malpighiales,Garcinia mangostana,Mangosteen," Tropical tree with dark green leaves and round, purple fruit.","A photograph of a Mangosteen (Garcinia mangostana): Tropical tree with dark green leaves and round, purple fruit."
Malpighiales,Passiflora edulis,Passion Flower," Vine with large, intricate flowers and round, purple fruit.","A photograph of a Passion Flower (Passiflora edulis): Vine with large, intricate flowers and round, purple fruit."
Malpighiales,Linum usitatissimum,Flax, Herbaceous plant with slender stems and blue flowers.,A photograph of a Flax (Linum usitatissimum): Herbaceous plant with slender stems and blue flowers.
Malpighiales,Theobroma cacao,Cacao," Tropical tree with large, glossy leaves and pod-like fruit.","A photograph of a Cacao (Theobroma cacao): Tropical tree with large, glossy leaves and pod-like fruit."
Malpighiales,Hevea brasiliensis,Rubber Tree, Large tree with glossy leaves and latex-producing bark.,A photograph of a Rubber Tree (Hevea brasiliensis): Large tree with glossy leaves and latex-producing bark.
Malpighiales,Buxus sempervirens,Boxwood," Evergreen shrub with small, glossy leaves.","A photograph of a Boxwood (Buxus sempervirens): Evergreen shrub with small, glossy leaves."
Malpighiales,Ginkgo biloba,Ginkgo, Large tree with fan-shaped leaves that turn yellow in autumn.,A photograph of a Ginkgo (Ginkgo biloba): Large tree with fan-shaped leaves that turn yellow in autumn.
Malpighiales,Santalum album,Sandalwood," Small tree with fragrant wood and small, purple fruit.","A photograph of a Sandalwood (Santalum album): Small tree with fragrant wood and small, purple fruit."
Malpighiales,Ricinus communis,Castor Oil Plant," Large shrub with glossy leaves and spiky, red fruit.","A photograph of a Castor Oil Plant (Ricinus communis): Large shrub with glossy leaves and spiky, red fruit."
Malpighiales,Adansonia digitata,Baobab," Massive tree with a swollen trunk and small, white flowers.","A photograph of a Baobab (Adansonia digitata): Massive tree with a swollen trunk and small, white flowers."
Malpighiales,Hippophae rhamnoides,Sea Buckthorn, Shrub with silvery leaves and bright orange berries.,A photograph of a Sea Buckthorn (Hippophae rhamnoides): Shrub with silvery leaves and bright orange berries.
Malpighiales,Hamamelis virginiana,Witch Hazel," Shrub with distinctive, yellow, ribbon-like flowers.","A photograph of a Witch Hazel (Hamamelis virginiana): Shrub with distinctive, yellow, ribbon-like flowers."
Malpighiales,Liquidambar styraciflua,Sweetgum, Large tree with star-shaped leaves and spiky fruit.,A photograph of a Sweetgum (Liquidambar styraciflua): Large tree with star-shaped leaves and spiky fruit.
Malvales,Populus alba,White Poplar, A deciduous tree with white bark and diamond-shaped leaves that are white underneath.,A photograph of a White Poplar (Populus alba): A deciduous tree with white bark and diamond-shaped leaves that are white underneath.
Malvales,Hibiscus moscheutos,Swamp Mallow," A tall perennial with large, showy, pink or white flowers and large, ovate leaves.","A photograph of a Swamp Mallow (Hibiscus moscheutos): A tall perennial with large, showy, pink or white flowers and large, ovate leaves."
Malvales,Alcea rosea,Hollyhock," A tall biennial with large, round, colorful flowers and lobed leaves.","A photograph of a Hollyhock (Alcea rosea): A tall biennial with large, round, colorful flowers and lobed leaves."
Malvales,Durio zibethinus,Durian," A large tropical fruit tree with spiky green fruit and large, glossy leaves.","A photograph of a Durian (Durio zibethinus): A large tropical fruit tree with spiky green fruit and large, glossy leaves."
Malvales,Ceiba pentandra,Kapok," A tall tree with a spiny trunk, palmate leaves, and large, oval fruit.","A photograph of a Kapok (Ceiba pentandra): A tall tree with a spiny trunk, palmate leaves, and large, oval fruit."
Malvales,Gossypium hirsutum,Cotton," A shrub with white flowers, lobed leaves, and round fruit that burst open to reveal fluffy fibers.","A photograph of a Cotton (Gossypium hirsutum): A shrub with white flowers, lobed leaves, and round fruit that burst open to reveal fluffy fibers."
Malvales,Swietenia mahagoni,Mahogany," A large tree with pinnate leaves, small white flowers, and large, woody fruit.","A photograph of a Mahogany (Swietenia mahagoni): A large tree with pinnate leaves, small white flowers, and large, woody fruit."
Malvales,Tilia cordata,Linden," A large tree with heart-shaped leaves, small yellow flowers, and small, round fruit.","A photograph of a Linden (Tilia cordata): A large tree with heart-shaped leaves, small yellow flowers, and small, round fruit."
